EmployeeID,FirstName,Gender,Department,JobRole,Location,HireDate,TerminationDate,Salary,PerformanceRating,Overtime,JobSatisfaction
1001,Employee_1,Female,Marketing,Marketing Manager,New York,2017-09-30,2019-05-22,138696,5,Yes,5
1002,Employee_2,Male,Finance,Financial Analyst,New York,2017-06-14,2018-03-29,123563,2,No,2
1003,Employee_3,Male,Finance,Accountant,New York,2022-10-30,,86421,2,Yes,3
1004,Employee_4,Male,Sales,Sales Executive,Toronto,2019-01-10,,129131,3,Yes,4
1005,Employee_5,Male,Operations,Operations Lead,Toronto,2021-03-11,,125674,2,Yes,1
1006,Employee_6,Male,Marketing,Marketing Manager,Berlin,2024-08-04,,99823,3,No,3
1007,Employee_7,Male,IT,Data Analyst,Berlin,2022-07-08,2023-10-23,129840,2,Yes,2
1008,Employee_8,Male,Finance,Accountant,Berlin,2022-09-05,2023-10-19,80021,1,No,4
1009,Employee_9,Female,HR,HR Manager,London,2017-05-20,,101856,4,Yes,3
1010,Employee_10,Female,IT,Software Engineer,Sydney,2023-05-18,,167679,5,No,3
1011,Employee_11,Female,IT,Software Engineer,Sydney,2016-01-08,,162866,1,Yes,2
1012,Employee_12,Male,Marketing,Content Strategist,Sydney,2019-04-26,,111348,5,No,5
1013,Employee_13,Female,Sales,Sales Rep,New York,2023-08-15,,64621,3,No,2
1014,Employee_14,Male,Finance,Financial Analyst,Berlin,2020-09-10,,164100,3,Yes,2
1015,Employee_15,Male,HR,HR Manager,Sydney,2021-09-19,2022-06-05,64662,3,No,2
1016,Employee_16,Male,Sales,Sales Executive,Sydney,2015-12-17,,156957,1,Yes,2
1017,Employee_17,Male,Marketing,Content Strategist,Sydney,2017-12-21,,129507,4,Yes,5
1018,Employee_18,Female,Marketing,Marketing Manager,Berlin,2022-07-14,,107422,5,No,1
1019,Employee_19,Female,IT,Software Engineer,New York,2015-03-28,,80161,5,Yes,1
1020,Employee_20,Male,Sales,Sales Rep,New York,2015-10-04,,162674,3,Yes,5
1021,Employee_21,Male,IT,Data Analyst,Toronto,2021-01-17,,81850,4,No,2
1022,Employee_22,Female,Sales,Sales Executive,Toronto,2019-10-01,,163224,1,Yes,1
1023,Employee_23,Male,Finance,Accountant,New York,2017-02-23,2022-09-02,68373,4,Yes,3
1024,Employee_24,Female,Finance,Financial Analyst,New York,2024-01-23,,122132,1,Yes,5
1025,Employee_25,Male,Sales,Sales Executive,London,2019-07-23,,78016,4,Yes,2
1026,Employee_26,Female,Finance,Financial Analyst,Toronto,2023-10-17,,87388,4,No,2
1027,Employee_27,Male,IT,Data Analyst,London,2021-06-30,,57989,3,Yes,1
1028,Employee_28,Male,Operations,Logistics Coordinator,Sydney,2015-08-21,,60500,2,Yes,5
1029,Employee_29,Female,Sales,Sales Rep,London,2016-05-06,,124668,2,Yes,5
1030,Employee_30,Female,Sales,Account Manager,Sydney,2017-12-04,2021-12-09,81285,3,No,2
1031,Employee_31,Female,Marketing,Content Strategist,Toronto,2023-06-07,,51220,4,Yes,1
1032,Employee_32,Female,Operations,Operations Lead,Sydney,2016-06-26,,165456,1,Yes,3
1033,Employee_33,Female,HR,HR Manager,Toronto,2021-11-10,,155788,5,Yes,5
1034,Employee_34,Female,HR,HR Manager,London,2016-04-17,,147310,5,Yes,3
1035,Employee_35,Male,HR,HR Manager,Berlin,2022-09-16,,84600,5,No,3
1036,Employee_36,Female,Sales,Sales Executive,Toronto,2015-06-30,2017-06-14,133507,3,Yes,4
1037,Employee_37,Male,Operations,Logistics Coordinator,Sydney,2016-04-03,2018-06-02,121511,1,No,5
1038,Employee_38,Male,Operations,Operations Lead,Toronto,2015-06-21,2016-05-29,167823,3,Yes,2
1039,Employee_39,Female,Marketing,Marketing Manager,Berlin,2021-12-17,,171341,2,Yes,2
1040,Employee_40,Female,Finance,Financial Analyst,London,2023-10-10,,155150,2,No,2
1041,Employee_41,Male,Marketing,Marketing Manager,Toronto,2024-08-17,,76158,4,No,3
1042,Employee_42,Male,IT,Software Engineer,New York,2019-06-21,2020-09-27,176732,3,No,5
1043,Employee_43,Male,Finance,Accountant,New York,2024-11-01,,73405,5,No,1
1044,Employee_44,Female,Sales,Sales Rep,Toronto,2023-03-04,,107199,5,Yes,4
1045,Employee_45,Male,Operations,Operations Lead,Berlin,2022-12-13,,118146,5,Yes,3
1046,Employee_46,Female,Finance,Financial Analyst,Berlin,2022-06-10,,144339,3,No,4
1047,Employee_47,Male,HR,HR Executive,Berlin,2017-02-24,,173255,4,Yes,5
1048,Employee_48,Male,Operations,Logistics Coordinator,Toronto,2018-05-29,2023-09-20,152990,5,No,4
1049,Employee_49,Female,Finance,Accountant,London,2023-11-26,,154336,2,Yes,3
1050,Employee_50,Male,Operations,Logistics Coordinator,New York,2022-07-18,,69313,1,Yes,2
1051,Employee_51,Female,Finance,Financial Analyst,Toronto,2024-12-08,,75485,4,No,4
1052,Employee_52,Male,IT,Software Engineer,New York,2023-09-24,,73053,5,No,1
1053,Employee_53,Female,Operations,Operations Lead,New York,2016-06-30,,137500,5,No,4
1054,Employee_54,Female,Operations,Logistics Coordinator,Sydney,2016-10-13,,112216,4,No,2
1055,Employee_55,Female,Marketing,Content Strategist,Sydney,2022-01-11,,60155,3,Yes,3
